6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
Studio Commerciale Neri,Italy,studiocommercialeneri.it,$1 - $1M,20 - 49,Business Services,Target
HCD Consulting GmbH,Germany,hcd-consulting.de,$5M - $10M,100 - 249,Hardware & Semiconductors,Consideration
Battaglioli,Italy,battaglioli.it,$1M - $5M,20 - 49,Consumer Goods and Services,Target
Raphe mPhibr,India,raphe.com,$25M - $50M,250 - 499,Aerospace & Defense,Decision
Department of Foreign Affairs,Israel,dfa.gov.ph,$25M - $50M,"5,000 - 9,999",Government,Target
PREFABRICADOS COBOMAR SL.,Spain,prefabricadoscobomar.com,$1M - $5M,20 - 49,"Consumer Goods and Services,Industrial Manufacturing",Target
ABP Network,India,abpnetwork.com,$250M - $500M,"1,000 - 4,999",Media & Entertainment,Consideration
Reid Health,United States,reidhealth.org,$2.5B - $5B,"1,000 - 4,999",Healthcare & Medical,Consideration
Virtusa,India,virtusa.com,$5B+,"10,000+","Business Services,Software,Information Technology",Decision
Ciena,India,ciena.com,$2.5B - $5B,"5,000 - 9,999",Telecommunications,Decision
K.I.T Tex International LTD.,Israel,kittex.biz,$1 - $1M,20 - 49,Wholesale & Distribution,Target
IAI - Israel Aerospace Industries,Israel,iai.co.il,$5B+,"10,000+","Aerospace & Defense,Transportation & Logistics",Decision
Renta 4,Spain,r4.com,$100M - $250M,500 - 999,Financial Services,Consideration
Moody Center ATX,United States,moodycenteratx.com,$25M - $50M,500 - 999,"Media & Entertainment,Business Services",Consideration
"Aflofarm Portugal, Lda",Portugal,aflofarm.pt,$25M - $50M,0 - 9,Biotech & Pharmaceuticals,Target
Lake Travis ISD,United States,ltisdschools.org,$50M - $100M,"1,000 - 4,999",Education,Consideration
EVM menuiserie,Switzerland,evm-menuiserie.ch,$1M - $5M,20 - 49,Industrial Manufacturing,Target
HSU FU CHI INTERNATIONAL,People's Republic of China,hsufu.com,,,,Target
Murrplastik,Germany,murrplastik.com,$500M - $1B,250 - 499,"Industrial Manufacturing,Industrial Manufacturing",Awareness
"Indian Institute Of Technology, Kharagpur",India,iitkgp.ac.in,$25M - $50M,"10,000+",Education,Consideration
TeamHealth,United States,teamhealth.com,$2.5B - $5B,"10,000+",Healthcare & Medical,Consideration
ICO GLOBAL COMMUNICATIONS,Mexico,fo.com,$25M - $50M,0 - 9,"Construction & Engineering,Telecommunications",Target
Eway,Australia,eway.com.au,$100M - $250M,100 - 249,Financial Services,Target
StarCare Dental Specialists Group,Australia,starcaredental.com.au,$1 - $1M,10 - 19,Healthcare & Medical,Target
Kingsoft,Japan,kingsoft.jp,$10M - $25M,100 - 249,Information Technology,Awareness
Codan Forsikring,Denmark,codan.dk,$500M - $1B,"1,000 - 4,999",Financial Services,Awareness
Caja Cooperativa Credicoop,Colombia,credi.coop,$1M - $5M,20 - 49,Financial Services,Target
ORTEC,Netherlands,ortec.com,$100M - $250M,"1,000 - 4,999",Business Services,Consideration
Wisconsin Department Of Transportation,United States,wisconsindot.gov,$100M - $250M,"1,000 - 4,999",Government,Consideration
WSC Sports,Israel,wsc-sports.com,$100M - $250M,500 - 999,Media & Entertainment,Decision
Lty Engineers,United States,lty-engineers.com,$1M - $5M,20 - 49,Business Services,Consideration
Scott Sports SA,United States,scott-sports.com,$50M - $100M,500 - 999,"Consumer Goods and Services,Consumer Goods and Services",Consideration
StartEngine,United States,startengine.com,$25M - $50M,100 - 249,"Financial Services,Financial Services,Software",Consideration
Polskie Sieci Elektroenergetyczne S.A.,Poland,pse.pl,$100M - $250M,"1,000 - 4,999",Energy & Utilities,Consideration
RAPIDO MEDELLIN RIONEGRO S A,Colombia,rapidomedellin.com,$1 - $1M,20 - 49,Transportation & Logistics,Target
Motherson Group,India,motherson.com,$5B+,"10,000+",Automotive,Decision
Red Canary,United States,redcanary.com,$50M - $100M,250 - 499,"Software,Information Technology",Consideration
Pirelli,Turkey,pirelli.com,$5B+,"10,000+",Automotive,Target
Gemeente Groningen,Netherlands,gemeente.groningen.nl,$50M - $100M,250 - 499,Government,Target
Tenaris,United States,tenaris.com,$5B+,"10,000+","Industrial Manufacturing,Energy & Utilities,Energy & Utilities",Decision
McKesson Corporation,United States,mckesson.com,$5B+,"10,000+","Healthcare & Medical,Biotech & Pharmaceuticals",Purchase
NeueHealth,United States,neuehealth.com,$500M - $1B,"1,000 - 4,999",Healthcare & Medical,Consideration
AIRINC,United States,air-inc.com,$25M - $50M,100 - 249,Business Services,Consideration
Emigrant Bank,United States,emigrant.com,$250M - $500M,"1,000 - 4,999",Financial Services,Consideration
Systems X,United States,systems-x.com,$1M - $5M,20 - 49,"Information Technology,Software,Hardware & Semiconductors",Decision
Golden Gate University,United States,ggu.edu,$250M - $500M,"10,000+",Education,Consideration
CreditorWatch,Australia,creditorwatch.com.au,$10M - $25M,100 - 249,"Financial Services,Information Technology",Consideration
LG Uplus,Korea,lguplus.com,$250M - $500M,"1,000 - 4,999","Industrial Manufacturing,Industrial Manufacturing,Industrial Manufacturing,Telecommunications",Consideration
Nubecao,Spain,nubecao.com,$1 - $1M,0 - 9,"Business Services,Telecommunications",Target
Antamina,Peru,antamina.com,$500M - $1B,"1,000 - 4,999",Business Services,Decision
Wunderkind,United States,wunderkind.co,$100M - $250M,500 - 999,"Business Services,Software",Consideration
BWSC,Denmark,bwsc.com,$100M - $250M,500 - 999,"Energy & Utilities,Construction & Engineering",Consideration
SABANCI UNIVERSITESI,Turkey,sabanciuniv.edu,$250M - $500M,500 - 999,Education,Decision
Hulamin,South Africa,hulamin.com,$500M - $1B,"1,000 - 4,999",Industrial Manufacturing,Decision
Office Of The Texas Secretary Of State,United States,sos.texas.gov,$25M - $50M,500 - 999,Government,Consideration
Western Governors University,United States,wgu.edu,$500M - $1B,"10,000+",Education,Purchase
Global Solar Fund,Italy,globalsolarfund.com,$5M - $10M,20 - 49,Energy & Utilities,Target
New Freedom,United States,newfreedomaz.com,$1 - $1M,100 - 249,Healthcare & Medical,Awareness
Lightsource Bp,Brazil,lightsourcebp.com,$500M - $1B,"1,000 - 4,999","Energy & Utilities,Energy & Utilities",Target
Act!,India,act.com,$50M - $100M,100 - 249,"Software,Business Services,Business Services",Consideration
盘谷银行,People's Republic of China,bangkokbank.com.cn,$1M - $5M,20 - 49,Financial Services,Target
INDEX France,People's Republic of China,index-group.com,$500M - $1B,"1,000 - 4,999",Industrial Manufacturing,Target
Republic Airways,United States,rjet.com,$1B - $2.5B,"5,000 - 9,999","Transportation & Logistics,Transportation & Logistics",Consideration
San Bernardino City Unified School District,United States,sbcusd.com,$25M - $50M,"5,000 - 9,999",Education,Decision
MIC,Japan,mic-west.co.jp,$5M - $10M,100 - 249,"Business Services,Software",Awareness
Alpine Cyber Solutions,United States,alpinecyber.com,$5M - $10M,20 - 49,"Information Technology,Software",Consideration
Groupe Lea Nature,France,leanature.com,$100M - $250M,"1,000 - 4,999",Consumer Goods and Services,Consideration
CECI,Canada,ceci.org,$25M - $50M,100 - 249,"Internet,Associations & Non Profits",Target
Policia Judiciaria,Portugal,policiajudiciaria.pt,$100M - $250M,"1,000 - 4,999",Government,Consideration
4each Software GmbH,Austria,4each.at,$1 - $1M,0 - 9,Information Technology,Target
Statistical Office of the Slovak Republic,Slovakia,statistics.sk,$25M - $50M,500 - 999,Government,Consideration
Gehan Homes,United States,brightlandhomes.com,$100M - $250M,100 - 249,"Construction & Engineering,Construction & Engineering,Real Estate, Rentals, and Leasing",Awareness
Altair Corporation,United States,altaircorp.net,$50M - $100M,250 - 499,"Media & Entertainment,Industrial Manufacturing",Target
Manitoulin Transport,Canada,manitoulintransport.com,$250M - $500M,"1,000 - 4,999",Transportation & Logistics,Consideration
Operative,United States,operative.com,$250M - $500M,"1,000 - 4,999","Software,Information Technology",Consideration
Hindustan Times,India,hindustantimes.com,$250M - $500M,"5,000 - 9,999",Media & Entertainment,Consideration
Kutztown University Of Pennsylvania,United States,kutztown.edu,$50M - $100M,"10,000+",Education,Decision
ALTRAFO SRL,Italy,altrafo.com,$10M - $25M,20 - 49,Industrial Manufacturing,Target
"Ntiva, Inc.",United States,ntiva.com,$50M - $100M,500 - 999,Information Technology,Decision
Isab,Italy,isab.com,$50M - $100M,"1,000 - 4,999",Energy & Utilities,Target
Indian Institute of Management Tiruchirappalli,India,iimtrichy.ac.in,$100M - $250M,100 - 249,"Business Services,Education",Decision
Balfour Beatty US,United States,balfourbeattyus.com,$2.5B - $5B,"1,000 - 4,999",Construction & Engineering,Awareness
T.C. ZIRAAT BANKASI - SOFIA BRANCH KCHT,Bulgaria,ziraatbank.bg,$1M - $5M,0 - 9,"Financial Services,Business Services,Government",Awareness
NOS Empresas,Portugal,nos.pt,$1B - $2.5B,"1,000 - 4,999","Media & Entertainment,Telecommunications",Decision
Oxford Products,United Kingdom,oxfordproducts.com,$25M - $50M,100 - 249,Consumer Goods and Services,Consideration
GHL ASESORIA Y CONSULTORIA INTEGRADAS S.L.,Spain,ghlconsultores.com,$1M - $5M,0 - 9,"Business Services,Business Services,Financial Services",Target
"SSN Institutions, Chennai, India",India,ssn.edu.in,$25M - $50M,"10,000+",Education,Consideration
Math2Market GmbH,Germany,math2market.com,$1M - $5M,100 - 249,Software,Consideration
Berkshire Hathaway HomeServices Chicago,United States,bhhschicago.com,$500M - $1B,"1,000 - 4,999","Real Estate, Rentals, and Leasing",Consideration
The InterTech Group,United States,theintertechgroup.com,$2.5B - $5B,"10,000+",Consumer Goods and Services,Consideration
Flender,People's Republic of China,flender.com,$1B - $2.5B,"5,000 - 9,999",Industrial Manufacturing,Awareness
Western Carolina University,United States,wcu.edu,$50M - $100M,"1,000 - 4,999",Education,Consideration
SBL Pharmaceuticals,Mexico,sblpharma.com,$1M - $5M,100 - 249,Healthcare & Medical,Target
Blue Yonder,United Kingdom,blueyonder.com,$1B - $2.5B,"5,000 - 9,999",Software,Consideration
Smithfield Foods,United States,smithfieldfoods.com,$5B+,"10,000+","Consumer Goods and Services,Agriculture",Consideration
Council Of Scientific & Industrial Research,India,csir.res.in,$50M - $100M,"10,000+",Business Services,Consideration
LG Innotek Poland,Japan,lginnotek.com,$5B+,"5,000 - 9,999",Hardware & Semiconductors,Target
Berenberg,Germany,berenberg.de,$500M - $1B,"1,000 - 4,999",Financial Services,Consideration
"Total Mortgage Services, LLC",United States,totalmortgage.com,$50M - $100M,250 - 499,Financial Services,Consideration
First Shanghai Investments,People's Republic of China,firstshanghai.com,,500 - 999,Financial Services,Target
Community Food Co-op,United States,bozo.coop,$10M - $25M,100 - 249,"Hospitality, Travel, and Recreation,Consumer Goods and Services,Consumer Goods and Services",Awareness
Liderman,Ecuador,liderman.com.ec,$100M - $250M,"1,000 - 4,999",Business Services,Awareness
Alcoa,Australia,alcoa.com,$5B+,"10,000+",Industrial Manufacturing,Consideration
One Agency North,Australia,oneagency.com.au,$50M - $100M,20 - 49,"Real Estate, Rentals, and Leasing",Awareness
Fox's Burton's Companies UK,United Kingdom,fbc-uk.com,$250M - $500M,"1,000 - 4,999",Consumer Goods and Services,Consideration
North Dakota State University,United States,ndsu.edu,$250M - $500M,"5,000 - 9,999",Education,Decision
Mdf Commerce,Canada,mdfcommerce.com,$50M - $100M,500 - 999,Software,Consideration
東京医師歯科医師協同組合,Japan,ishikyo.or.jp,$25M - $50M,20 - 49,Financial Services,Target
Stadt Borken,Germany,borken.de,$25M - $50M,250 - 499,Government,Awareness
Ookla,United Kingdom,ookla.com,$25M - $50M,500 - 999,Software,Awareness
Baylor University,United States,baylor.edu,$1B - $2.5B,"1,000 - 4,999",Education,Decision
Prodapt,United States,prodapt.com,$250M - $500M,"5,000 - 9,999","Software,Information Technology",Awareness
Infibeam Avenues Limited,India,ccavenue.com,$25M - $50M,500 - 999,Financial Services,Purchase
"HOKKAIDO TOKYU BUILDING MANAGEMENT CO., LTD.",Japan,h-tokyu-bm.co.jp,$10M - $25M,100 - 249,"Business Services,Business Services",Target
Liechtenstein Life,Switzerland,liechtensteinlife.com,$5M - $10M,100 - 249,Financial Services,Target
Yael - CloudTech,Israel,yaelgroup.com,$50M - $100M,100 - 249,Software,Consideration
Activu,United States,activu.com,$10M - $25M,50 - 99,Software,Consideration
Overcash Real Estate,United States,overcashrealestate.com,$5M - $10M,0 - 9,"Real Estate, Rentals, and Leasing",Target
JUTA,Czech Republic,juta.cz,$250M - $500M,"1,000 - 4,999",Education,Awareness
PGE-RJ,Brazil,pge.rj.gov.br,$25M - $50M,"1,000 - 4,999",Government,Decision
Intelsat,United States,intelsat.com,$1B - $2.5B,"1,000 - 4,999",Telecommunications,Consideration
APPLE WEALTH SECURITIES PUBLIC COMPANY LIMITED,Thailand,applewealthsecurities.com,$1M - $5M,100 - 249,Financial Services,Target
Alpha Trust,Greece,alphatrust.gr,$5M - $10M,20 - 49,Financial Services,Target
"Tesco, Inc. Of South Carolina",United Kingdom,tescoplc.com,$500M - $1B,"10,000+","Wholesale & Distribution,Consumer Goods and Services,Business Services",Awareness
Paycips,Mexico,paycips.com,$1 - $1M,10 - 19,Financial Services,Awareness
The Insurance Emporium,United Kingdom,theinsuranceemporium.co.uk,$10M - $25M,100 - 249,Financial Services,Consideration
24 K Stargaze,India,koltepatil.com,$100M - $250M,"1,000 - 4,999","Construction & Engineering,Real Estate, Rentals, and Leasing",Consideration
BAER CONSULTING,Germany,baer-consulting.eu,$1 - $1M,0 - 9,Business Services,Consideration
SUN PHARMA,India,sunpharma.com,$2.5B - $5B,"10,000+","Biotech & Pharmaceuticals,Healthcare & Medical",Purchase
Ariston Group,Italy,aristongroup.com,$500M - $1B,"10,000+","Construction & Engineering,Industrial Manufacturing",Awareness
"Universis, SA",Portugal,universis.pt,$1 - $1M,0 - 9,"Software,Information Technology,Hardware & Semiconductors",Purchase
The Upper Occoquan Service Authority,United States,uosa.org,$25M - $50M,100 - 249,Energy & Utilities,Decision
Mafil,Israel,mafil.org,$1M - $5M,10 - 19,Software,Target
SDIL,United States,sdil.net,$10M - $25M,100 - 249,Healthcare & Medical,Awareness
IT-Services Der Sozialversicherung GmbH,Austria,itsv.at,$50M - $100M,500 - 999,Information Technology,Decision
Tallassee City Schools,United States,tcschools.com,$25M - $50M,100 - 249,"Education,Education",Consideration
ESD Systeemwanden,Netherlands,esdsysteemwanden.nl,$1M - $5M,20 - 49,Construction & Engineering,Target
"Chetu, Inc.",India,chetu.com,$50M - $100M,"1,000 - 4,999","Software,Information Technology",Consideration
Leidos,United States,leidos.com,$5B+,"10,000+","Information Technology,Software,Aerospace & Defense",Purchase
Eurowind Energy,Denmark,eurowindenergy.com,$50M - $100M,500 - 999,Energy & Utilities,Consideration
ClubLink,Canada,clublink.com,$5M - $10M,100 - 249,"Hospitality, Travel, and Recreation",Consideration
Epson LabelWorks,Taiwan,epson.com,$5B+,"10,000+",Hardware & Semiconductors,Target
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,Germany,abfallwirtschaft-freiburg.de,$50M - $100M,250 - 499,"Energy & Utilities,Energy & Utilities",Consideration
Rooms To Go,United States,roomstogo.com,$2.5B - $5B,"5,000 - 9,999","Consumer Goods and Services,Consumer Goods and Services",Consideration
Zurich Santander,Chile,zurichsantander.cl,$1M - $5M,10 - 19,"Financial Services,Healthcare & Medical",Target
"Chugach Government Solutions, LLC",United States,chugachgov.com,$500M - $1B,"1,000 - 4,999","Business Services,Business Services",Consideration
Allendan Seed,United States,allendanseed.com,$5M - $10M,0 - 9,Agriculture,Consideration
AISIN Europe,Czech Republic,aisin-europe.com,$25M - $50M,"1,000 - 4,999",Automotive,Target
Eversheds Sutherland,United States,eversheds-sutherland.com,$1B - $2.5B,"5,000 - 9,999",Business Services,Decision
Universal Assistance,Brazil,universal-assistance.com,$100M - $250M,500 - 999,"Financial Services,Business Services,Hospitality, Travel, and Recreation",Target
MK Fasteners,India,mkfasteners.in,$10M - $25M,20 - 49,"Industrial Manufacturing,Industrial Manufacturing",Awareness
Sylvan Union School District,United States,sylvan.k12.ca.us,$25M - $50M,"1,000 - 4,999",Education,Consideration
Eagle Rock Distributing Company,United States,eaglerocks.com,$50M - $100M,500 - 999,"Consumer Goods and Services,Wholesale & Distribution",Awareness
Adelaide Airport Limited,Australia,adelaideairport.com.au,$10M - $25M,250 - 499,Transportation & Logistics,Consideration
CIMPOR,Portugal,cimpor.com,$100M - $250M,"1,000 - 4,999",Construction & Engineering,Consideration
Franciscan Missionaries Of Our Lady Health System,United States,fmolhs.org,$2.5B - $5B,"10,000+",Healthcare & Medical,Purchase
Televia,Mexico,televia.com.mx,$25M - $50M,100 - 249,Transportation & Logistics,Target
GLOVIA G2 - ERP and Supply Chain Solution,United States,glovia.com,$25M - $50M,500 - 999,Software,Target
Novel Vegan Crafts GmbH & Co.Kg,Germany,nvcfood.com,$10M - $25M,0 - 9,"Consumer Goods and Services,Business Services",Target
Viasat,United States,viasat.com,$2.5B - $5B,"5,000 - 9,999",Telecommunications,Decision
backstitch,United States,backstitch.io,$1M - $5M,20 - 49,Software,Consideration
Tupperware,Brazil,tupperware.com,$1B - $2.5B,"10,000+",Industrial Manufacturing,Consideration
Bexar County,United States,bexar.org,$500M - $1B,"5,000 - 9,999",Government,Decision
Lojas Renner S.A,Brazil,lojasrenner.com.br,$500M - $1B,"10,000+",Consumer Goods and Services,Decision
Alameda Unified School District,United States,alamedaunified.org,$25M - $50M,"1,000 - 4,999","Education,Government",Consideration
BI WORLDWIDE,India,biworldwide.com,$500M - $1B,"1,000 - 4,999","Business Services,Business Services",Consideration
Rhinexa,India,rhinexa.com,$1M - $5M,20 - 49,"Business Services,Business Services,Software",Decision
Compeq Manufacturing,Taiwan,compeq.com.tw,$1B - $2.5B,"5,000 - 9,999","Consumer Goods and Services,Hardware & Semiconductors",Awareness
Parish Of Caddo,United States,caddo.gov,$50M - $100M,250 - 499,Government,Target
Omega Point,United States,ompnt.com,$1M - $5M,20 - 49,Financial Services,Awareness
Yahoo,Japan,yahooinc.com,$5B+,"10,000+","Internet,Media & Entertainment",Consideration
TransLink,Canada,translink.ca,$1B - $2.5B,"5,000 - 9,999",Transportation & Logistics,Consideration
TRT 4,Brazil,trt4.jus.br,$50M - $100M,"1,000 - 4,999","Business Services,Government",Decision
Smyths Toys Superstores,United Kingdom,smythstoys.com,$500M - $1B,"1,000 - 4,999","Consumer Goods and Services,Consumer Goods and Services",Consideration
SICPA,Switzerland,sicpa.com,$500M - $1B,"1,000 - 4,999",Industrial Manufacturing,Decision
Patelco Credit Union,United States,patelco.org,$250M - $500M,500 - 999,Financial Services,Decision
Lockton,United States,lockton.com,$2.5B - $5B,"10,000+",Financial Services,Decision
Fresh Water Systems,United States,freshwatersystems.com,$10M - $25M,50 - 99,Consumer Goods and Services,Decision
CIDESI,Mexico,cidesi.com,$25M - $50M,500 - 999,"Business Services,Associations & Non Profits",Target
LSEG,United States,lseg.com,$5B+,"10,000+","Business Services,Financial Services,Information Technology",Purchase
Gemalto,Russia,intechcard.ru,,,Consumer Goods and Services,Target
NIE Networks,United Kingdom,nienetworks.co.uk,$250M - $500M,"1,000 - 4,999",Energy & Utilities,Consideration
2B NET LTD,Israel,2bnet.co.il,$1M - $5M,0 - 9,Business Services,Target
AeC,Brazil,aec.com.br,$50M - $100M,"10,000+",Business Services,Consideration
Pipeline Equipment,United States,pipelineequipment.com,$25M - $50M,100 - 249,"Industrial Manufacturing,Energy & Utilities",Consideration
Sun Metals,Australia,sunmetals.com.au,$500M - $1B,250 - 499,Industrial Manufacturing,Target
Otomed,Portugal,otomed.pt,,20 - 49,Healthcare & Medical,Target
Array,United States,trustarray.com,$10M - $25M,100 - 249,Business Services,Consideration
Powercor,Australia,powercor.com,$1M - $5M,20 - 49,Business Services,Target
"OJSC ""Bashkirenergo""",Russia,bashkirenergo.ru,$10M - $25M,"10,000+",Energy & Utilities,Target
Rand Schools,Saudi Arabia,randschools.com,$25M - $50M,250 - 499,"Education,Education",Target
Airport Authority Hong Kong,People's Republic of China,hongkongairport.com,$500M - $1B,"1,000 - 4,999",Transportation & Logistics,Purchase
VWR International,United States,vwr.com,$2.5B - $5B,"5,000 - 9,999","Industrial Manufacturing,Wholesale & Distribution,Consumer Goods and Services",Consideration
Be Kraftsalg AS,Norway,bodoenergi.no,$10M - $25M,250 - 499,"Energy & Utilities,Construction & Engineering",Target
Chugach Electric Association,United States,chugachelectric.com,$100M - $250M,250 - 499,Energy & Utilities,Consideration
LVI - Suunnittelutoimisto Kaiplan Oy,Finland,kaiplan.fi,$1 - $1M,0 - 9,Business Services,Target
Cardnet,Dominican Republic,cardnet.com.do,$100M - $250M,250 - 499,Financial Services,Decision
Klarna,Sweden,klarna.com,$1B - $2.5B,"1,000 - 4,999",Financial Services,Consideration
Vertex Systems,Japan,vertexsys.co.jp,$1 - $1M,20 - 49,"Software,Information Technology",Target
Las Vegas Sands Corp.,People's Republic of China,sands.com,$5B+,"10,000+",Media & Entertainment,Target
"CloudCover, part of Ollion",Singapore,cldcvr.com,$50M - $100M,500 - 999,"Software,Information Technology",Target
Princeton Digital Group,Malaysia,princetondg.com,$10M - $25M,250 - 499,Business Services,Awareness
Meyer,United States,meyerus.com,$100M - $250M,250 - 499,Consumer Goods and Services,Target
Recobranca,Brazil,recobranca.com.br,$5M - $10M,20 - 49,"Business Services,Financial Services",Target
East St John High School,United States,stjohn.k12.la.us,$5M - $10M,20 - 49,Education,Decision
Sol - Gel Technologies Ltd.,Israel,sol-gel.com,$10M - $25M,100 - 249,Biotech & Pharmaceuticals,Awareness
iS5 Communications,Canada,is5com.com,$10M - $25M,100 - 249,"Business Services,Telecommunications",Target
Treasure Island Resort & Casino,United States,ticasino.com,$100M - $250M,"1,000 - 4,999","Hospitality, Travel, and Recreation",Purchase
GlobalLogic,India,globallogic.com,$5B+,"10,000+","Business Services,Information Technology,Software",Decision
Trasmed,Spain,trasmed.com,$25M - $50M,250 - 499,Transportation & Logistics,Awareness
Southwestern Payroll,United States,swpay.com,$5M - $10M,20 - 49,Business Services,Consideration
Millennium,United States,mlp.com,$500M - $1B,"5,000 - 9,999",Financial Services,Decision
Office Of The State Superintendent Of Education,United States,osse.dc.gov,$25M - $50M,"1,000 - 4,999","Education,Government",Consideration
e7 Group,United Arab Emirates,e7group.ae,$10M - $25M,"1,000 - 4,999",Media & Entertainment,Decision
Priority1,United States,priority1inc.com,$100M - $250M,500 - 999,Transportation & Logistics,Consideration
Hewlett Packard Enterprise,United States,hpe.com,$5B+,"10,000+","Business Services,Hardware & Semiconductors,Information Technology,Software",Purchase
MKL,Belgium,mkl.be,$25M - $50M,500 - 999,Healthcare & Medical,Target
Esentire,Canada,esentire.com,$50M - $100M,500 - 999,"Software,Information Technology",Decision
Cyfuture,India,cyfuture.com,$250M - $500M,"1,000 - 4,999","Software,Information Technology",Consideration
S&B Partners Consultores,Spain,sbconsultores.es,$1 - $1M,0 - 9,"Business Services,Business Services",Awareness
"Opus Integration, Inc",United States,opus-integration.com,$1M - $5M,20 - 49,Business Services,Target
Airspace,United States,airspace.com,$50M - $100M,250 - 499,Transportation & Logistics,Awareness
RateGain,India,rategain.com,$100M - $250M,500 - 999,Software,Consideration
Brass Boer Thuis,Netherlands,brassboer.com,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
Deppon,People's Republic of China,deppon.com,$2.5B - $5B,"10,000+",Transportation & Logistics,Target
Keiter CPAs,United States,keitercpa.com,$10M - $25M,100 - 249,Business Services,Consideration
Blackned,Germany,blackned.de,$5M - $10M,100 - 249,"Government,Information Technology,Software,Hardware & Semiconductors",Consideration
Rockwell Capital GRP Rockwell Capit,United States,4906732.com,,,,Target
Socomec Group,France,socomec.com,$500M - $1B,"1,000 - 4,999","Industrial Manufacturing,Consumer Goods and Services",Consideration
Allez Et Cie,France,allez.fr,$100M - $250M,"1,000 - 4,999","Construction & Engineering,Construction & Engineering",Consideration
Searce Inc,India,searce.com,$250M - $500M,"1,000 - 4,999","Business Services,Information Technology,Software",Consideration
Belmont University,United States,belmont.edu,$250M - $500M,"5,000 - 9,999",Education,Consideration
Mitsubishi UFJ Financial Group,Malaysia,mufg.jp,$5B+,"10,000+",Financial Services,Target
Overland Pharma,People's Republic of China,overlandpharmaceuticals.cn,$1M - $5M,,Healthcare & Medical,Target
Lutz,United States,lutz.us,$25M - $50M,250 - 499,Business Services,Decision
IDEO,United States,ideo.com,$100M - $250M,500 - 999,"Business Services,Information Technology",Awareness
SNC-Lavalin Group Inc.,United States,atkinsrealis.com,$500M - $1B,"10,000+","Construction & Engineering,Information Technology",Decision
Aopify Ltd,People's Republic of China,aopify.com,$1 - $1M,10 - 19,Information Technology,Awareness
Chevron Phillips Chemical Company,United States,cpchem.com,$2.5B - $5B,"5,000 - 9,999","Industrial Manufacturing,Construction & Engineering",Decision
"McDermott International, Inc.",United States,mcdermott.com,$5B+,"10,000+","Construction & Engineering,Energy & Utilities",Decision
Hofstra University,United States,hofstra.edu,$250M - $500M,"1,000 - 4,999",Education,Consideration
Okonomistyrelsen,Denmark,oes.dk,$50M - $100M,250 - 499,Government,Consideration
Barambah Organics,Australia,barambahorganics.com.au,$25M - $50M,20 - 49,Agriculture,Awareness
Nassau County,United States,nassaucountyny.gov,$500M - $1B,"1,000 - 4,999",Government,Consideration
Mequon - Thiensville School District,United States,mtsd.k12.wi.us,$25M - $50M,250 - 499,"Education,Education",Consideration
AppNet,Poland,appnet.com.pl,$1M - $5M,0 - 9,"Software,Information Technology,Hardware & Semiconductors,Telecommunications",Consideration
Career,Taiwan,careergroups.com,$250M - $500M,100 - 249,Hardware & Semiconductors,Awareness
INDRAYANI CO-OPERATIVE BANK,India,indrayanibank.com,$10M - $25M,20 - 49,Financial Services,Target
Vimar,Italy,vimar.com,$100M - $250M,500 - 999,"Industrial Manufacturing,Industrial Manufacturing",Consideration
National Unity Insurance Company,Mexico,nationalunity.com,$5M - $10M,100 - 249,Financial Services,Consideration
SIU Medicine,United States,siumed.edu,$500M - $1B,"1,000 - 4,999","Healthcare & Medical,Education",Purchase
WITTENSTEIN Group,Germany,wittenstein.de,$250M - $500M,"1,000 - 4,999",Industrial Manufacturing,Awareness
Tecpetrol,Colombia,tecpetrol.com,$500M - $1B,"5,000 - 9,999",Energy & Utilities,Target
Aka Social Ltd,People's Republic of China,aka.org.hk,$1M - $5M,100 - 249,"Consumer Goods and Services,Associations & Non Profits",Consideration
MicroBilt,United States,microbilt.com,$25M - $50M,100 - 249,"Financial Services,Financial Services",Consideration
TEAM Marketing,Switzerland,team.ch,$25M - $50M,100 - 249,Business Services,Target
LENMETROGIPROTRANS,Russia,lmgt.ru,$25M - $50M,250 - 499,Construction & Engineering,Target
Campbell Soup,United States,campbells.com,$5B+,"10,000+",Consumer Goods and Services,Decision
National Civil Service Institute,Taiwan,nacs.gov.tw,$1M - $5M,0 - 9,"Business Services,Government",Awareness
Shenzhen Huijie Group,People's Republic of China,huijiegroup.com,$250M - $500M,20 - 49,Consumer Goods and Services,Target
US Oral Surgery Management,United States,usosm.com,$25M - $50M,500 - 999,Healthcare & Medical,Consideration
Newcastle University,United Kingdom,ncl.ac.uk,$500M - $1B,"10,000+",Education,Decision
Ultranav,Chile,ultranav.cl,$500M - $1B,"1,000 - 4,999",Transportation & Logistics,Consideration
Lodha Impex,India,thelodhagroup.com,$10M - $25M,20 - 49,Consumer Goods and Services,Target
BBC News,United Kingdom,bbc.com,$5B+,"10,000+",Media & Entertainment,Awareness
Tata Communications,France,tatacommunications.com,$1B - $2.5B,"5,000 - 9,999",Telecommunications,Awareness
North Sea Midstream Partners,United Kingdom,nsmp-limited.com,$1M - $5M,20 - 49,Energy & Utilities,Awareness
